trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
8	23	1.0080	520.5450	798.4460	0.4720	419.5060	0.1600	101	SMI	1M	10Ldeg
9	21	1.0000	176.5920	799.1170	0.4150	433.8240	0.3310	101	SMI	1M	10Ldeg
1	5	1.0080	867.2890	325.9670	1.8980	282.0330	0.2480	101	SMI	1M	10Rdeg
2	11	0.9830	217.3310	615.4410	1.4690	293.6950	0.1610	101	SMI	1M	10Rdeg
3	21	1.0000	211.3080	963.5580	1.6040	288.9220	0.1810	101	SMI	1M	10Rdeg
4	1	1.0000	220.1250	226.0920	0.9320	311.9740	0.1560	101	SMI	1M	10Rdeg
5	3	0.9670	561.6640	234.2670	1.0660	312.3700	0.1830	101	SMI	1M	10Rdeg
6	15	0.9830	895.1610	599.5510	1.3660	301.8430	0.1740	101	SMI	1M	10Rdeg
7	25	1.0000	901.5670	941.4500	1.4900	302.2560	0.1210	101	SMI	1M	10Rdeg
8	23	1.0000	588.7670	925.7000	1.4930	313.8610	0.1460	101	SMI	1M	10Rdeg
9	13	1.0000	592.9000	592.0750	1.5240	315.2560	0.4580	101	SMI	1M	10Rdeg
1	23	1.0080	504.8100	1050.1570	1.2670	271.2710	0.1260	101	SMI	2M	0deg
2	13	0.9580	532.4000	677.6430	1.0550	280.3360	0.1510	101	SMI	2M	0deg
3	15	1.0080	853.7930	605.4710	0.6280	280.9780	0.0950	101	SMI	2M	0deg
4	25	1.0000	835.0000	907.6500	0.4340	271.2850	0.1540	101	SMI	2M	0deg
5	11	0.9830	222.7030	594.6440	0.6420	300.6290	0.0960	101	SMI	2M	0deg
6	21	1.0000	183.1250	846.8170	0.1240	320.6740	0.0850	101	SMI	2M	0deg
7	5	1.0000	874.8420	247.2250	0.5290	297.2600	0.1080	101	SMI	2M	0deg
8	1	0.9920	223.1430	249.0000	0.5830	304.4480	0.2430	101	SMI	2M	0deg
9	3	1.0080	547.7270	272.2640	0.6770	294.3220	0.1210	101	SMI	2M	0deg
1	5	0.9830	941.9070	573.6950	2.4610	284.9360	0.2400	101	SMI	2M	10Ldeg
2	25	0.9920	851.9580	1109.3360	1.6160	273.8600	0.0940	101	SMI	2M	10Ldeg
3	1	1.0000	203.1920	481.1750	1.8490	276.6240	0.1210	101	SMI	2M	10Ldeg
4	3	0.9920	504.0250	457.0170	1.6960	270.7940	0.1230	101	SMI	2M	10Ldeg
5	21	0.9830	127.6270	1035.2970	1.2020	259.0600	0.1250	101	SMI	2M	10Ldeg
6	11	1.0000	110.6750	704.3250	1.2370	254.6750	0.1010	101	SMI	2M	10Ldeg
7	15	0.9830	766.4150	664.3470	1.0370	247.8450	0.1690	101	SMI	2M	10Ldeg
8	13	0.9920	435.3030	679.4710	1.1140	250.1760	0.1140	101	SMI	2M	10Ldeg
9	23	1.0080	406.4550	987.8600	1.0550	238.8110	0.1160	101	SMI	2M	10Ldeg
1	23	1.0080	607.2310	1060.6860	1.4680	295.2510	0.1120	101	SMI	2M	10Rdeg
2	11	1.0000	359.7420	694.0420	1.5990	314.8570	0.1010	101	SMI	2M	10Rdeg
3	5	0.9920	1095.2770	349.1680	1.8650	325.1340	0.0970	101	SMI	2M	10Rdeg
4	21	1.0080	373.5040	986.2480	1.5020	323.5250	0.0790	101	SMI	2M	10Rdeg
5	1	0.9830	427.3730	325.0340	1.7820	328.7230	0.1220	101	SMI	2M	10Rdeg
6	13	0.9920	753.8820	603.4450	1.6010	337.8310	0.0970	101	SMI	2M	10Rdeg
7	15	1.0000	1093.0670	587.0170	1.6000	341.4780	0.1600	101	SMI	2M	10Rdeg
8	25	0.9920	1042.2940	959.7230	1.4260	328.8320	0.2460	101	SMI	2M	10Rdeg
9	3	0.9920	817.1930	298.8910	2.0070	337.3710	0.1620	101	SMI	2M	10Rdeg
1	23	0.9750	477.2560	1211.1030	1.4740	266.5550	0.1030	101	SMI	3M	0deg
2	5	0.9750	784.2220	535.8120	1.4510	262.4220	0.0930	101	SMI	3M	0deg
3	3	0.9920	486.3450	440.1510	1.0670	267.1420	0.0820	101	SMI	3M	0deg
4	13	0.9830	479.0170	716.5250	0.8470	264.4650	0.0750	101	SMI	3M	0deg
5	25	0.9830	808.5590	974.2460	0.5570	260.0290	0.0870	101	SMI	3M	0deg
